Acc,Sen,Spe,Pre,MCC
0.911,0.924,0.898,0.902,0.822
0.916,0.926,0.906,0.909,0.832
0.913,0.919,0.906,0.905,0.825
0.915,0.924,0.906,0.907,0.83
0.922,0.941,0.902,0.906,0.844
