Trainデータ数: 13703
Testデータ数: 621
Epoch 123, Loss: 0.0591, Time: 37.39s
Epoch 124, Loss: 0.0587, Time: 37.76s
Epoch 125, Loss: 0.0583, Time: 38.01s
Epoch 126, Loss: 0.0573, Time: 36.51s
Epoch 127, Loss: 0.0567, Time: 38.16s
Epoch 128, Loss: 0.0564, Time: 38.26s
Epoch 129, Loss: 0.0558, Time: 36.62s
Epoch 130, Loss: 0.0552, Time: 37.57s
Epoch 131, Loss: 0.0548, Time: 37.34s
Epoch 132, Loss: 0.0541, Time: 37.39s
Epoch 133, Loss: 0.0535, Time: 36.24s
Epoch 134, Loss: 0.0531, Time: 37.93s
Epoch 135, Loss: 0.0524, Time: 37.06s
Epoch 136, Loss: 0.0519, Time: 37.50s
Epoch 137, Loss: 0.0515, Time: 37.65s
Epoch 138, Loss: 0.0511, Time: 37.58s
Epoch 139, Loss: 0.0507, Time: 37.36s
Epoch 140, Loss: 0.0501, Time: 37.28s
Epoch 141, Loss: 0.0498, Time: 36.81s
Epoch 142, Loss: 0.0492, Time: 34.63s
Epoch 143, Loss: 0.0488, Time: 34.95s
Epoch 144, Loss: 0.0478, Time: 34.03s
Epoch 145, Loss: 0.0476, Time: 35.06s
Epoch 146, Loss: 0.0474, Time: 36.10s
Epoch 147, Loss: 0.0467, Time: 35.72s
Epoch 148, Loss: 0.0466, Time: 35.49s
Epoch 149, Loss: 0.0463, Time: 34.92s
Epoch 150, Loss: 0.0456, Time: 34.66s
Epoch 151, Loss: 0.0452, Time: 34.97s
Epoch 152, Loss: 0.0447, Time: 35.43s
Epoch 153, Loss: 0.0445, Time: 35.49s
Epoch 154, Loss: 0.0441, Time: 34.60s
Epoch 155, Loss: 0.0435, Time: 34.88s
Epoch 156, Loss: 0.0430, Time: 35.73s
Epoch 157, Loss: 0.0428, Time: 35.33s
Epoch 158, Loss: 0.0425, Time: 34.59s
Epoch 159, Loss: 0.0424, Time: 35.21s
Epoch 160, Loss: 0.0419, Time: 35.58s
Epoch 161, Loss: 0.0413, Time: 36.59s
Epoch 162, Loss: 0.0412, Time: 34.60s
Epoch 163, Loss: 0.0408, Time: 35.14s
Epoch 164, Loss: 0.0405, Time: 35.31s
Epoch 165, Loss: 0.0399, Time: 34.19s
Epoch 166, Loss: 0.0398, Time: 35.13s
Epoch 167, Loss: 0.0394, Time: 35.31s
Epoch 168, Loss: 0.0393, Time: 36.11s
Epoch 169, Loss: 0.0387, Time: 34.49s
Epoch 170, Loss: 0.0385, Time: 34.76s
Epoch 171, Loss: 0.0382, Time: 34.76s
Epoch 172, Loss: 0.0377, Time: 33.78s
Epoch 173, Loss: 0.0379, Time: 34.60s
Epoch 174, Loss: 0.0372, Time: 34.14s
Epoch 175, Loss: 0.0371, Time: 34.70s
Epoch 176, Loss: 0.0369, Time: 35.96s
Epoch 177, Loss: 0.0366, Time: 35.61s
Epoch 178, Loss: 0.0362, Time: 34.38s
Epoch 179, Loss: 0.0361, Time: 34.48s
Epoch 180, Loss: 0.0359, Time: 33.99s
Epoch 181, Loss: 0.0352, Time: 35.84s
Epoch 182, Loss: 0.0354, Time: 35.52s
Epoch 183, Loss: 0.0351, Time: 34.57s
Epoch 184, Loss: 0.0348, Time: 35.33s
Epoch 185, Loss: 0.0345, Time: 34.45s
Epoch 186, Loss: 0.0341, Time: 35.38s
Epoch 187, Loss: 0.0341, Time: 35.47s
Epoch 188, Loss: 0.0337, Time: 34.88s
Epoch 189, Loss: 0.0334, Time: 35.48s
Epoch 190, Loss: 0.0331, Time: 34.05s
Epoch 191, Loss: 0.0332, Time: 34.90s
Epoch 192, Loss: 0.0331, Time: 34.60s
Epoch 193, Loss: 0.0323, Time: 34.98s
Epoch 194, Loss: 0.0325, Time: 34.87s
Epoch 195, Loss: 0.0322, Time: 34.78s
Epoch 196, Loss: 0.0321, Time: 35.56s
Epoch 197, Loss: 0.0319, Time: 35.21s
Epoch 198, Loss: 0.0316, Time: 34.03s
Epoch 199, Loss: 0.0313, Time: 34.89s
Epoch 200, Loss: 0.0309, Time: 34.86s
Epoch 201, Loss: 0.0310, Time: 35.43s
Epoch 202, Loss: 0.0309, Time: 35.07s
Epoch 203, Loss: 0.0304, Time: 34.77s
Epoch 204, Loss: 0.0306, Time: 35.24s
Epoch 205, Loss: 0.0302, Time: 35.21s
Epoch 206, Loss: 0.0303, Time: 35.69s
Epoch 207, Loss: 0.0297, Time: 34.45s
Epoch 208, Loss: 0.0297, Time: 36.13s
Epoch 209, Loss: 0.0294, Time: 34.45s
Epoch 210, Loss: 0.0292, Time: 34.64s
Epoch 211, Loss: 0.0293, Time: 35.39s
