Trainデータ数: 13703
Testデータ数: 621
Epoch 123, Loss: 0.0726, Time: 209.10s
Epoch 124, Loss: 0.0729, Time: 195.34s
Epoch 125, Loss: 0.0719, Time: 200.63s
Epoch 126, Loss: 0.0705, Time: 190.95s
Epoch 127, Loss: 0.0707, Time: 185.17s
Epoch 128, Loss: 0.0700, Time: 205.17s
Epoch 129, Loss: 0.0686, Time: 188.75s
Epoch 130, Loss: 0.0692, Time: 195.44s
Epoch 131, Loss: 0.0681, Time: 193.23s
Epoch 132, Loss: 0.0672, Time: 194.54s
Epoch 133, Loss: 0.0671, Time: 183.23s
Epoch 134, Loss: 0.0661, Time: 192.47s
Epoch 135, Loss: 0.0655, Time: 192.32s
Epoch 136, Loss: 0.0645, Time: 191.01s
Epoch 137, Loss: 0.0641, Time: 186.16s
Epoch 138, Loss: 0.0643, Time: 185.09s
Epoch 139, Loss: 0.0634, Time: 180.77s
Epoch 140, Loss: 0.0622, Time: 182.43s
Epoch 141, Loss: 0.0628, Time: 189.41s
Epoch 142, Loss: 0.0624, Time: 183.31s
Epoch 143, Loss: 0.0611, Time: 188.73s
Epoch 144, Loss: 0.0605, Time: 190.74s
Epoch 145, Loss: 0.0601, Time: 187.49s
Epoch 146, Loss: 0.0601, Time: 190.23s
Epoch 147, Loss: 0.0595, Time: 190.61s
Epoch 148, Loss: 0.0588, Time: 186.85s
Epoch 149, Loss: 0.0588, Time: 187.64s
Epoch 150, Loss: 0.0574, Time: 191.11s
Epoch 151, Loss: 0.0574, Time: 189.22s
Epoch 152, Loss: 0.0569, Time: 193.32s
Epoch 153, Loss: 0.0566, Time: 190.63s
Epoch 154, Loss: 0.0561, Time: 186.08s
Epoch 155, Loss: 0.0556, Time: 188.06s
Epoch 156, Loss: 0.0552, Time: 192.39s
Epoch 157, Loss: 0.0544, Time: 188.79s
Epoch 158, Loss: 0.0547, Time: 189.74s
Epoch 159, Loss: 0.0545, Time: 195.42s
Epoch 160, Loss: 0.0537, Time: 191.85s
Epoch 161, Loss: 0.0527, Time: 192.25s
Epoch 162, Loss: 0.0526, Time: 193.83s
Epoch 163, Loss: 0.0528, Time: 196.47s
Epoch 164, Loss: 0.0523, Time: 197.35s
Epoch 165, Loss: 0.0515, Time: 192.17s
Epoch 166, Loss: 0.0512, Time: 186.00s
Epoch 167, Loss: 0.0504, Time: 200.56s
Epoch 168, Loss: 0.0499, Time: 197.97s
Epoch 169, Loss: 0.0498, Time: 189.86s
Epoch 170, Loss: 0.0498, Time: 189.82s
Epoch 171, Loss: 0.0488, Time: 173.08s
Epoch 172, Loss: 0.0486, Time: 192.38s
Epoch 173, Loss: 0.0488, Time: 199.59s
Epoch 174, Loss: 0.0491, Time: 195.81s
Epoch 175, Loss: 0.0480, Time: 199.08s
Epoch 176, Loss: 0.0474, Time: 186.66s
Epoch 177, Loss: 0.0470, Time: 193.31s
Epoch 178, Loss: 0.0467, Time: 194.31s
Epoch 179, Loss: 0.0463, Time: 189.13s
Epoch 180, Loss: 0.0462, Time: 192.98s
Epoch 181, Loss: 0.0461, Time: 199.54s
Epoch 182, Loss: 0.0460, Time: 201.16s
Epoch 183, Loss: 0.0452, Time: 197.07s
Epoch 184, Loss: 0.0446, Time: 190.69s
Epoch 185, Loss: 0.0448, Time: 192.08s
Epoch 186, Loss: 0.0445, Time: 198.62s
Epoch 187, Loss: 0.0438, Time: 191.43s
Epoch 188, Loss: 0.0440, Time: 197.82s
Epoch 189, Loss: 0.0432, Time: 197.00s
Epoch 190, Loss: 0.0433, Time: 193.16s
Epoch 191, Loss: 0.0431, Time: 190.38s
Epoch 192, Loss: 0.0424, Time: 191.89s
Epoch 193, Loss: 0.0422, Time: 194.16s
Epoch 194, Loss: 0.0420, Time: 195.86s
Epoch 195, Loss: 0.0419, Time: 190.54s
Epoch 196, Loss: 0.0414, Time: 193.75s
Epoch 197, Loss: 0.0414, Time: 191.01s
Epoch 198, Loss: 0.0414, Time: 189.85s
Epoch 199, Loss: 0.0406, Time: 194.83s
Epoch 200, Loss: 0.0409, Time: 169.62s
Epoch 201, Loss: 0.0402, Time: 195.96s
Epoch 202, Loss: 0.0397, Time: 201.47s
Epoch 203, Loss: 0.0400, Time: 192.17s
Epoch 204, Loss: 0.0392, Time: 199.35s
Epoch 205, Loss: 0.0392, Time: 189.93s
Epoch 206, Loss: 0.0392, Time: 191.47s
Epoch 207, Loss: 0.0386, Time: 192.57s
Epoch 208, Loss: 0.0389, Time: 196.80s
Epoch 209, Loss: 0.0381, Time: 191.50s
Epoch 210, Loss: 0.0382, Time: 189.93s
Epoch 211, Loss: 0.0379, Time: 186.66s
Epoch 212, Loss: 0.0378, Time: 191.55s
Epoch 213, Loss: 0.0374, Time: 193.75s
Epoch 214, Loss: 0.0373, Time: 192.45s
Epoch 215, Loss: 0.0367, Time: 187.99s
Epoch 216, Loss: 0.0370, Time: 185.50s
Epoch 217, Loss: 0.0365, Time: 187.30s
Epoch 218, Loss: 0.0366, Time: 183.75s
Epoch 219, Loss: 0.0359, Time: 184.84s
Epoch 220, Loss: 0.0357, Time: 189.55s
Epoch 221, Loss: 0.0358, Time: 189.20s
Epoch 222, Loss: 0.0354, Time: 189.74s
Epoch 223, Loss: 0.0353, Time: 190.51s
Epoch 224, Loss: 0.0353, Time: 187.44s
Epoch 225, Loss: 0.0353, Time: 190.97s
Epoch 226, Loss: 0.0351, Time: 183.95s
Epoch 227, Loss: 0.0347, Time: 185.37s
Epoch 228, Loss: 0.0343, Time: 197.41s
Epoch 229, Loss: 0.0343, Time: 183.06s
Epoch 230, Loss: 0.0338, Time: 183.58s
Epoch 231, Loss: 0.0341, Time: 189.51s
Epoch 232, Loss: 0.0336, Time: 189.30s
Epoch 233, Loss: 0.0338, Time: 188.36s
Epoch 234, Loss: 0.0333, Time: 192.14s
Epoch 235, Loss: 0.0334, Time: 192.54s
Epoch 236, Loss: 0.0332, Time: 190.09s
Epoch 237, Loss: 0.0328, Time: 184.62s
